date,headline,headline_sentiment,state_headline,state_headline_sentiment,national_headline,national_headline_sentiment,business_headline,business_headline_sentiment,global_headline,global_headline_sentiment
12/03/20,India quarantines itself from world for a month to fight virus,0,Jobs yet to reach every household,0,"Allies leave congress to fend for itself, scuttle plans to boost RS numbers",0,Fallout of Yes bank Crisis. Fear factor hits private lenders,0,"Coronavirus Outbreak is a pandemic, WHO declares",0
13/03/20,"World War C: Sensex crashes2919 points, by far its worst ever",0,A long road to recovery for healthcare sector,0,"Govt: Don’t panic, no community transmission of coronavirus yet",1,World stocks sink into bear market after US travel curbs,0,Viral Earthquake shocks the world,0
14/03/20,Fewer cases but India becomes fifth country to isolate corona virus,1,PWD promises to  release water for Banana crops,1,"Amazon,Swiggy executives to work from home too",1,P and W to finish A320 upgrades by May end,1,Corona virus sent AsiaPac air traffic plummeting 50%,0
15/03/20,"Covid-19 cases touch 100 Maharashtra leads with 31 as more test positive in Mumbai, Pune",0,"HP shuts cinema halls, Punjab swimming pools and gyms too",0,Corona outbreak now a notified disaster,0,,,Spain is now the new corona hotbed,0
16/03/20,Covid-19 cases to be discharged only after two negative tests in 24 hours,1,One in ten patients infected by those showing no symptoms,0,J&K political prisoners will be freed in time to come: Shah,1,"Bigbasket, Grofers orders double as malls shut down",1,Europe locks itself but virus still on prowl,0
17/03/20,"Corantine: Even Indians from EU,Turkey,UK barred entry.",0,Punjab cabinet urges people to defer wedding ceremonies,0,Stranded in UK desis feel India much safer,1,RBI unveils 1 lakh crore liquidity infusion to fight virus effect,1,More people now infected outside China,0
18/03/20,Centre asks private hospitals to reserve beds for isolation,0,"Administration, SGPC join hands at Golden Temple to ward off corona virus",1,Limited localised Covid 19 spread so far :Government,1,"Europe faces Border chaos,choked supply lines",0,"Yes bank limit ends today, SBI vows funding support",1
19/03/20,"Covid19: Ibrufen can worsen Covid,use Paracetamol",0,This year teachers can check ICSE and ISE scripts at home,1,Citizens adopt home remedies in battle against corona virus,1,Yes Bank to reopen under new Avatar after 13 days,1,Myanmar Airlines suspend Gaya operations,0
20/03/20,"Modi:14 hour ‘Janata Curfew’ on sunday, no need to hoard, don’t cut wages",1,"States ready 3.5K quarantine beds, over 500 ventilators",1,"Saarc antivirus plan in motion, India sends aid, slams Pakistan",1,"Sensex swings 2600 points, closes at over 3 year low",0,Italy overtakes China’s virus toll,0
21/03/20,"Jio accepts FB friend request, sells 10% stake for record 43,547 crore",1,Tally may rise as tests throw up more positive cases in region,0,"60,000 quarantine beds set aside as corona cases rise",1,"Govt. Bid to ease MSME pain, 50% wage relief for workers",1,Italy reports 627 deaths in 24 hours,0
01/04/20,Govts race to curb spread as hundreds from Tablighi meet show symptoms,0,Unfeasible to start operations:Industries,0,"Jump in corona cases due to lack of community support, says Govt.",0,"Sales of cars,2-wheelers crash most in over 20 years",0,US virus toll crosses that of China’s and that of 9/11,0
02/04/20,"378 linked to Tablighi meet test positive, number rising",0,"Golden temple former hazuri ragi tests positive,so do 4 more in punjab",0,Trace all jamaat attendees on war footing:Centre to states,1,"Sensex down 1203 points on global cues, weak auto sales",0,Deadliest day for Europe: Toll tops 30000,0
03/04/20,129 of 141 new corona cases in Delhi connected to Jamaat,0,"In Punjab, high percentage of young population is corona infected",0,Lockdown creates acute shortage at blood banks,0,"Realty,airlines,auto dealers set to be worst hit by virus",0,"Global toll 50000 + , nearly a million infected",0
04/04/20,"2 deaths: Tablighi man dies in Jhajjar, 78 year old in east Delhi",0,"Labour shortage to hit Haryana farmers in mandis, not fields",0,Mega cash transfer In Battle Covid-19,1,Government eases rules to aid supply chain,1,New York’s Covid-19 Toll nears 9/11 level,0
05/04/20,83% of Covid-19 patients in India are aged below 60 years,0,"Good News: 4 defeat corona, says isolation fight not easy",1,"26 new cases in Haryana, 23 linked to Jamaat",0,Trump fires intel official involved in impeachment investigation,0,US accused of hijacking health supplies,0
06/04/20,Toll shoots past 100 with 27 more deaths since Sat night,0,23000 health professionals enrol to volunteer in punjab,1,Corona testing shifts into top gear,1,Demand for summer products set to get hit,0,"After Trump plea,India may ease drug export ban",1
07/04/20,"Prepare for ‘new normal’,draft biz continuity plans: PM to mins",1,"Procurement: labour, gunny bags shortage worry Pb",0,India’s oldest couple to beat Covid-19 are home,1,Over 20% export orders cancelled,0,Trump says there is light at end of tunnel,1
08/04/20,"Average age of India’s Covid deaths is 60, Diabetes, BP common co-ailments",0,Haryana figure up from 29 to 129 in 7 days,0,Containment plan gives Govt hope,1,India to produce 30000 PPE per day by April25,1,"Wuhan reopens after 76 days,World is watching",0
09/04/20,Lockdown extension likely as PM talks ‘national emergency’,0,Punjab does better than national average in tests,1,"26 new deaths, toll nears 200-mark",0,3.5 L trucks with 35k cr goods stuck: Truckers,0,"Amid pandemic,Trump picks a fight with WHO",0
10/04/20,"Confusion,chaos abound on Day 1 of Noida containment",0,Payment delay results in decline of cane acreage,0,"Overall numbers up, but rate of positive cases stable:ICMR",1,16.8m Have Sought US jobless Aid since outbreak,0,"After 7 weeks in red, sensex sees gains",1
11/04/20,"Punjab extends curfew till May 1, second state after Odisha",0,"21 more +ve,1 death in Punjab;tally at 151",0,Army brings out big guns on LoC,0,NBFCs risk not repaying 1.75 L crore,0,"Worldwide Virus Toll Crosses 1,00,000",0
12/04/20,Lockdown set to be extended with some measures to restart economy,1,"To check spread, states map zones",1,"Without lockdown, virus could have affected 8.2 lakh by April15: Analysis",1,Pune firm first in India to get Govt funding for Covid-19 vaccine,1,"US tops Toll Tally, Sees 2000+ deaths in a day",0
13/04/20,Govt. To expand testing to ‘cold spots’ with no cases,1,"On Baisakhi, farmers pray for smooth harvest",1,Govt. Earmarks 1 lakh hosp beds for Covid-19 patients,1,Top NBFCs may not get RBI reprieve,0,All 50 US states declared Disaster Zones,0
14/04/20,"At 10 am today, PM will give a clearer view of way forward",1,Labour a worry as Punjab prepares for procurement,0,How Kerala managed to flatten the Covid-19 graph,1,"Drug,med device mfg  cos operate at 50% capacity.",1,Health or wealth? Calls Grow for Easing curbs,1
15/04/20,Lockdown goes from 21 to 40 days,0,UT plans 3 tier health care system for emergency,1,Stranded migrants hit the street,0,"India expected  to grow 1.9%, global eco to contract:IMF",1,Global cases inch towards 2-Million mark,0
16/04/20,Govt Greenlights Limited Reboot,1,"Drive through tests hit triple bump: Protocols,prescriptions and forms",1,Don’t dilute  lockdown norms : Centre,0,Mandi Board warns against disruption,0,"Trump stalls WHO funding, draws flak from leaders, China may step up funding",0
17/04/20,Govt readying stimulus for corporates and common man,1,7 kin of Panchkula Sec 15 woman test positive,0,"Gurdaspur’s only Covid-19 patient dies,Punjab at 199",0,"Rupee nears 77, drop to hurt forex borrowers, students",0,Covid-19 puts 22m Americans Out of work,0
